"Identifiant de la mission";"Code thème IGAS";"Thème IGAS";"Code thème régional";"Thème régional";"Type de mission";"Type de planification";"Modalité de la mission";"Code FINESS";"Date réelle Visite";"Date réelle Rapport";"Nombre d écarts";"Nombre de remarques";"Injonction";"Prescription";"Recommandation";"Saisine CNG";"Saisine juridiction/ordinale";"Saisine parquet";"Autre saisine";"Statut de la mission"
"2022_01084";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"030007207";"19/12/2022";"08/02/2023";1;7;0;1;4;0;0;0;0;Clôturé
"2022_01085";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"590782553";"19/12/2022";"";2;8;0;2;4;0;0;0;0;Clôturé
"2022_01086";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"150780518";"19/12/2022";"20/02/2023";6;7;0;5;6;0;0;0;0;Clôturé
"2022_01087";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010789717";"19/12/2022";"20/02/2023";4;5;0;4;10;0;0;0;0;Clôturé
"2022_01088";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010786259";"19/12/2022";"08/02/2023";4;5;0;3;2;0;0;0;0;Clôturé
"2022_01089";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010786077";"19/12/2022";"20/02/2023";5;6;0;4;2;0;0;0;0;Clôturé
"2022_01090";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010786036";"19/12/2022";"08/02/2023";3;8;0;3;5;0;0;0;0;Clôturé
"2022_01091";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010009066";"19/12/0022";"08/02/2023";0;0;0;5;6;0;0;0;0;Clôturé
"2022_01092";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010007961";"19/12/2022";"20/02/2023";2;4;0;2;2;0;0;0;0;Clôturé
"2022_01093";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2022_MS634D13_0324;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Hors programme;Inopinée;"010005239";"19/12/2022";"20/02/2023";3;1;0;3;1;0;0;0;0;Clôturé
"2023_ARA_00371";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"010009223";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00372";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"010780955";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
