"IDENTIFIANT";"NDEG_FINESS_RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
"0100000242021";"010000024";"2021";;;;;;;;;;;;;;17;;1;11;;;2;1;;;;;4
"0100000242022";"010000024";"2022";;;;;;;;;;;;;;11;;2;6;;;4;;;;;;1
"0100000242023";"010005239";"2023";1;;;1;;;;;;;;;;8;1;3;3;1;;;;;;;;
"0100000322021";"010000032";"2021";;;;;;;;;;;;;;3;;;3;;;;2;;;;;
"0100000322022";"010000032";"2022";;;;;;;;;;;;;;4;1;2;4;3;;2;1;;;;;
"0100000322023";"010000032";"2023";;;;;;;;;;;;;;3;;;3;;;2;2;;;;;
"0100000652021";"010000065";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0100000652023";"010000065";"2023";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"0100000992021";"010000099";"2021";;;;;;;;;;;;;;2;;;1;;;1;1;;;;;2
"0100000992022";"010000099";"2022";;;;;;;;;;;;;;2;;;2;;;1;;;;;;
"0100001072021";"010000107";"2021";;;;;;;;;;;;;;1;1;;1;1;;;;;;;;
"0100004952021";"010000495";"2021";;;;;;;;;;;;;;2;1;;;;;1;;;;;;
"0100004952022";"010000495";"2022";;;;;;;;;;;;;;5;1;1;5;;;3;;;;;;
"0100017412023";"010001741";"2023";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"0100021292021";"010002129";"2021";;;;;;;;;;;;;;3;;2;2;2;;;;1;;;;1
"0100021292022";"010002129";"2022";;;;;;;;;;;;;;2;;;2;2;;1;1;;;;;
"0100022282021";"010002228";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0100032182023";"010003218";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"0100040592023";"010004059";"2023";1;;;1;1;;;;;;;;;;;;;;;;;;;;;
"0100049012022";"010004901";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0100052392021";"010005239";"2021";;;;;;;;;;;;;;4;;;4;;;1;;;;;;
"0100052392022";"010005239";"2022";;;;;;;;;;;;;;5;;;2;;;3;;;;;;
"0100052392023";"010005239";"2023";;;;;;;;;;;;;;2;;;1;;;2;;;;;;
"0100053792021";"010005379";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0100053792022";"010005379";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0100054522022";"010005452";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0100067992022";"010006799";"2022";;;;;;;;;;;;;;3;;1;2;1;;3;1;;;;;
"0100074662023";"010007466";"2023";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"0100081752022";"010008175";"2022";1;;1;;1;;;;;;;;;;;;;;;;;;;;;
